PLUIDM|PLUIGR|TAG|RENCENG|MINOR|KDIDM
20054889||N|0|1|G089
20061651|1864810|N|1|1|G089
20061650||N|0|1|G089
10008449||N|0|0|G089
20061194||N|0|1|G089
20091349|1266470||1|1|G089
20117461|1501180||1|1|G089
20110323|1444980||1|2|G089
20105100|1528730||1|1|G089
20086026|1312760||1|1|G089
20049969|1478860||1|1|G089
20131028|1507880||1|1|G089
20055798|1379720||1|1|G089
20070739|1333370||1|1|G089
20104149|1499920||1|2|G089
20095863|1580830||1|2|G089
20096691|1470150|R|1|1|G089
20096729|1470440|N|1|1|G089
20064829|1380450||1|1|G089
10000098|0002240||1|1|G089
20109350|1632520||1|1|G089
20102471|1700590||1|2|G089
20083486|1432970||1|2|G089
20052643|1473780||1|1|G089
10000073|0450160||1|25|G089
10008683|1058720||1|5|G089
20064503|1387880||1|1|G089
20130801|1683040||1|1|G089
20125062|1703780||1|30|G089
20096440|1690440||1|1|G089
10008819|0345050|E|1|12|G089
20128720|1605090||1|1|G089
20128417|1699650||1|1|G089
20098173|1574620||1|1|G089
20107717|1424500||1|1|G089
20118166||Z|0|1|G089
20113992|||0|0|G089
20101094|1422370||1|1|G089
20131253|1422590||1|1|G089
10014778|0433550||1|1|G089
20101927|1542870||1|1|G089
20096975|1413750|V|1|1|G089
10025439||R|0|1|G089
20049754||N|0|1|G089
20022310|1175140|R|1|1|G089
20033590||N|0|1|G089
20062412|1675010|R|1|1|G089
20056478|1356070|R|1|1|G089
20056956||N|0|1|G089
20123018|1569540||1|2|G089
20102701|1505100||1|1|G089
20098787|1552310||1|1|G089
20113301|1632600||1|2|G089
10035858|1002240||1|2|G089
20125158|1704080||1|1|G089
20131631|1744420||1|1|G089
20123616|||0|0|G089
20074431|1630640||1|2|G089
10006876|1341840||1|2|G089
10002258|0452780||1|2|G089
10004540|0072320||1|2|G089
10001093|0370570||1|5|G089
20122948|1569130||1|2|G089
20122285|1522310||1|2|G089
20097391|1575460||1|2|G089
20105936|1492060|I|1|1|G089
20009912|1073780|T|1|1|G089
10002983|0059350||1|1|G089
10031438|0795340||1|2|G089
20105504|1491470|O|1|1|G089
20025825|1221400||1|1|G089
20048582|1301030||1|2|G089
10036708|0082200||1|2|G089
10028140|1078810||1|2|G089
20122273|1522270||1|1|G089
20113916|1460480||1|1|G089
20113913|1460410|L|1|1|G089
20016379|1125840||1|1|G089
20030646|1270400||1|1|G089
20046081|1314740|L|1|2|G089
20099141|1544780||1|1|G089
20038640|1399130|R|1|1|G089
20117197|1485900||1|1|G089
20114173|1633200|V|1|1|G089
20093175|1551190||1|1|G089
20123361|1445980||1|1|G089
20106953|1426920||1|2|G089
20120856|1420290||1|1|G089
20081456|1319980||1|2|G089
20007307|1050500||1|2|G089
20026897|1559000||1|2|G089
10004503|0304010||1|20|G089
20120510|1601450||1|1|G089
20007700|1277730||1|2|G089
20095752|1580720||1|1|G089
20114112|1633140|L|1|1|G089
20130706|1701370||1|2|G089
20113303|1632620||1|1|G089
20124601|1580120||1|1|G089
20098614|1490930||1|1|G089
20048310|1390480||1|2|G089
20120823|1782660||1|1|G089
20022011|1225500||1|2|G089
20120203|1626890||1|2|G089
20094171|1690520||1|1|G089
20109612|1593600||1|36|G089
10015436|0442470||1|1|G089
20131019|1507910||1|1|G089
20095864|1580850||1|1|G089
20111564|1486140||1|1|G089
20048583|1671600||1|1|G089
20124030|1509950|Z|1|1|G089
20123694|1487070|Z|1|1|G089
20129916|1840600||1|1|G089
20024908|1215890||1|1|G089
10000020|0000400||1|2|G089
20013435|1117090||1|2|G089
20047242|1217280|N|1|2|G089
20063853||N|0|1|G089
20063859||N|0|1|G089
20065737|1301450|N|1|2|G089
20065491|1301480|R|1|1|G089
20065882|1437340|F|1|1|G089
20068207|1557720|R|1|1|G089
20067683|1479980|N|1|2|G089
20067582|1865020|N|1|1|G089
20078649|1534700|R|1|25|G089
20126224|1463920||1|0|G089
20132089||Z|0|1|G089
20123578|||0|0|G089
20123711|||0|0|G089
20113295|1626530|N|1|2|G089
20087660|1336640|R|1|1|G089
20028880|1521560|N|1|6|G089
20062974|1341900||1|1|G089
20096703|1470180|R|1|1|G089
20031160|1542790|N|1|6|G089
20103296|1525950|N|1|1|G089
20103347|1496190|N|1|1|G089
20105095|1709790|N|1|10|G089
20060288|1527590|R|1|1|G089
20108994|1592920|N|1|1|G089
20111432|1780680|R|1|1|G089
20105994|1491920|Z|1|133|G089
20123060|1569780||1|0|G089
20080440|1822450|Z|1|2|G089
20129362|1707770||1|1|G089
20126354|1503390||1|0|G089
20121016|1633990||1|2|G089
20128123|1799050||1|1|G089
20125494|1642570||1|1|G089
20102063|1459460|T|1|1|G089
20027166|1382580|S|1|30|G089
20054913|1535070||1|2|G089
20131372|1660740||1|2|G089
20099974|1474830||1|2|G089
20027240|1214110||1|2|G089
10004771|0053450||1|1|G089
20096450|1429380|N|1|2|G089
20069748||N|0|1|G089
20070204||N|0|1|G089
20070058|1864900|N|1|1|G089
10000988|0037330||1|2|G089
20067449|1529310|S|1|1|G089
20098761|1490950||1|1|G089
20090308|1708780||1|1|G089
20099181|1782290||1|1|G089
20115354|1701500||1|2|G089
10003413|0068950|V|1|6|G089
20110249|1444920||1|1|G089
20123619|||0|0|G089
20114379|1633680||1|1|G089
20124298|1416360||1|1|G089
20113323|1941770|R|1|1|G089
20111502|1778810||1|0|G089
20056098|1382550|R|1|1|G089
20010773|1078830|R|1|1|G089
20060356||R|0|1|G089
20060322||R|0|1|G089
20048733||R|0|6|G089
20042757|1203410|N|1|1|G089
10039060|0218590|N|1|1|G089
20040490||R|0|1|G089
20047278||N|0|1|G089
20047218||N|0|1|G089
20114855|1691210|V|1|1|G089
20118230|1465260||1|100|G089
10000019|0000390||1|4|G089
10008314|0346410||1|2|G089
20021571|1254650|D|1|1|G089
20087580|1336740|D|1|1|G089
20113178|1632400||1|2|G089
20123566|1487060||1|1|G089
20088375|1515470||1|1|G089
10025410|0734320||1|4|G089
20128957|1778540||1|1|G089
20091440|1266200||1|1|G089
20091410|1299910||1|1|G089
20125068|1703980|V|1|1|G089
20132100|1577710||1|1|G089
20011008|1080910|D|1|2|G089
10008133|0884440||1|1|G089
